order_id,order_date,customer_id,country,city,channel,category,subcategory,unit_price,quantity,discount,revenue,cost
O27,2025-04-21 22:00:00,C11364,Sweden,Malmö,Retail,Sports,Sports Sub5,89.58,2,0.0,179.16,116.14
O28,2025-03-03 14:00:00,C10686,UK,London,Web,Home,Home Sub4,10.0,1,0.0,10.0,5.51
O29,2025-06-26 21:00:00,C10761,Sweden,Malmö,Marketplace,Sports,Sports Sub1,119.08,4,0.14,411.11,297.25
O30,2024-04-10 04:00:00,C10480,USA,Seattle,Web,Home,Home Sub4,113.02,1,0.0,113.02,84.84
O31,2024-08-07 22:00:00,C11079,Netherlands,Utrecht,Mobile App,Home,Home Sub4,39.2,4,0.0,156.78,100.45
O32,2025-08-12 23:00:00,C10577,Australia,Brisbane,Web,Electronics,Electronics Sub1,10.0,2,0.03,19.35,13.87
O33,2024-02-22 05:00:00,C10627,Netherlands,Amsterdam,Mobile App,Home,Home Sub1,191.0,1,0.0,191.0,137.27
O34,2024-11-29 13:00:00,C11131,Netherlands,Amsterdam,Mobile App,Electronics,Electronics Sub5,104.9,2,0.0,209.8,134.63
O35,2024-01-06 08:00:00,C10487,USA,San Francisco,Web,Fashion,Fashion Sub5,108.28,3,0.0,324.83,200.76
O36,2024-03-06 04:00:00,C10077,Canada,Montreal,Mobile App,Sports,Sports Sub4,135.62,2,0.0,271.23,191.91
O37,2024-09-22 14:00:00,C11145,Germany,Munich,Web,Electronics,Electronics Sub2,253.94,2,0.23,393.34,373.96
O38,2024-08-13 00:00:00,C10906,Brazil,São Paulo,Mobile App,Electronics,Electronics Sub1,210.19,1,0.0,210.19,138.41
O39,2025-06-08 16:00:00,C10466,Australia,Sydney,Web,Fashion,Fashion Sub3,108.09,1,0.0,108.09,74.6
O40,2025-02-25 09:00:00,C10753,Brazil,Brasília,Retail,Beauty,Beauty Sub2,130.34,1,0.0,130.34,72.19
O41,2024-08-03 00:00:00,C10612,USA,Seattle,Mobile App,Beauty,Beauty Sub5,90.3,1,0.1,80.92,52.0
O42,2025-02-26 17:00:00,C10641,Sweden,Stockholm,Marketplace,Electronics,Electronics Sub3,126.48,1,0.0,126.48,78.4
O43,2025-06-11 03:00:00,C10662,Sweden,Malmö,Web,Sports,Sports Sub3,188.1,4,0.0,752.4,474.92
O44,2024-09-07 20:00:00,C10198,USA,Seattle,Web,Beauty,Beauty Sub2,169.54,1,0.0,169.54,111.02
O45,2025-10-19 00:00:00,C10087,Brazil,Brasília,Mobile App,Sports,Sports Sub2,192.83,4,0.08,705.98,525.42
O46,2024-02-01 09:00:00,C10001,India,Hyderabad,Mobile App,Fashion,Fashion Sub4,10.0,4,0.03,38.62,24.16
O47,2024-03-29 21:00:00,C10234,Sweden,Malmö,Web,Sports,Sports Sub5,135.92,3,0.03,394.87,276.01
O48,2025-02-22 06:00:00,C10538,USA,New York,Web,Electronics,Electronics Sub4,84.33,3,0.02,249.07,186.99
O49,2024-07-15 22:00:00,C10211,Sweden,Stockholm,Web,Sports,Sports Sub3,181.38,2,0.0,362.76,250.29
O50,2024-01-26 14:00:00,C10391,Canada,Vancouver,Retail,Sports,Sports Sub3,105.29,3,0.08,291.6,184.99
O51,2024-05-29 04:00:00,C10846,UK,Leeds,Mobile App,Beauty,Beauty Sub1,188.74,1,0.0,188.74,115.13
O52,2025-05-09 05:00:00,C10331,Brazil,São Paulo,Web,Fashion,Fashion Sub1,78.83,1,0.0,78.83,58.49
O53,2024-03-11 14:00:00,C10659,Netherlands,Amsterdam,Mobile App,Electronics,Electronics Sub4,191.57,4,0.0,766.28,471.15
O54,2025-06-19 11:00:00,C10870,France,Marseille,Mobile App,Fashion,Fashion Sub2,172.64,3,0.23,400.02,359.56
O55,2025-07-01 22:00:00,C10703,USA,San Francisco,Web,Electronics,Electronics Sub3,10.0,2,0.0,20.0,14.9
O56,2025-05-01 08:00:00,C11182,France,Lyon,Mobile App,Fashion,Fashion Sub1,282.79,1,0.0,282.79,161.55
O57,2024-08-09 16:00:00,C11259,Netherlands,Utrecht,Web,Beauty,Beauty Sub2,10.0,1,0.07,9.27,5.82
O58,2024-07-01 19:00:00,C11148,USA,Seattle,Web,Electronics,Electronics Sub2,173.68,3,0.0,521.04,341.33
O59,2024-02-10 00:00:00,C10053,UK,Bristol,Retail,Fashion,Fashion Sub2,10.0,1,0.0,10.0,7.6
O60,2024-07-28 00:00:00,C11340,Australia,Melbourne,Web,Fashion,Fashion Sub2,181.46,1,0.0,181.46,134.28
O61,2025-07-05 16:00:00,C10982,USA,New York,Web,Fashion,Fashion Sub5,105.23,2,0.0,210.46,154.99
O62,2024-05-02 13:00:00,C10157,Australia,Melbourne,Mobile App,Fashion,Fashion Sub5,230.34,5,0.0,1151.7,839.54
O63,2024-09-07 02:00:00,C10265,Germany,Munich,Mobile App,Electronics,Electronics Sub5,116.07,2,0.21,184.48,141.35
O64,2024-07-20 09:00:00,C10671,Australia,Melbourne,Marketplace,Home,Home Sub3,143.68,1,0.0,143.68,92.37
O65,2025-02-13 01:00:00,C11195,Netherlands,Utrecht,Marketplace,Electronics,Electronics Sub5,183.19,3,0.0,549.57,335.19
O66,2024-11-30 08:00:00,C11092,Netherlands,Rotterdam,Mobile App,Home,Home Sub1,142.71,5,0.0,713.56,426.06
O67,2024-03-26 03:00:00,C10825,India,Mumbai,Retail,Sports,Sports Sub3,196.03,2,0.09,357.69,251.98
O68,2025-08-03 16:00:00,C11117,India,Hyderabad,Web,Fashion,Fashion Sub4,39.68,1,0.2,31.74,30.0
O69,2025-08-11 04:00:00,C10445,France,Marseille,Mobile App,Electronics,Electronics Sub2,92.55,2,0.0,185.11,137.93
O70,2024-06-25 17:00:00,C10218,Canada,Vancouver,Retail,Fashion,Fashion Sub3,37.37,1,0.18,30.56,27.19
O71,2024-03-23 11:00:00,C11009,France,Paris,Web,Sports,Sports Sub1,42.21,1,0.17,35.09,24.95
O72,2025-03-25 18:00:00,C11237,USA,San Francisco,Web,Sports,Sports Sub1,93.62,4,0.0,374.5,259.78
O73,2024-06-08 06:00:00,C10872,Netherlands,Amsterdam,Web,Home,Home Sub1,79.41,3,0.03,232.02,149.26
O74,2025-08-08 02:00:00,C10254,Netherlands,Utrecht,Web,Home,Home Sub5,133.98,1,0.0,133.98,88.1
O75,2025-06-12 04:00:00,C10965,UK,London,Mobile App,Sports,Sports Sub3,10.0,3,0.06,28.11,23.51
O76,2024-11-15 09:00:00,C10500,USA,New York,Web,Electronics,Electronics Sub2,10.0,2,0.0,20.0,11.66
O77,2024-04-24 09:00:00,C11120,France,Lyon,Web,Fashion,Fashion Sub5,10.0,3,0.0,30.0,21.78
O78,2024-04-22 12:00:00,C10758,Australia,Brisbane,Marketplace,Home,Home Sub3,25.83,1,0.02,25.37,20.39
O79,2025-06-05 21:00:00,C10700,India,Bengaluru,Web,Home,Home Sub5,10.0,1,0.04,9.6,6.14
O80,2025-10-19 17:00:00,C10041,UK,London,Mobile App,Fashion,Fashion Sub4,10.0,1,0.12,8.77,6.63
O81,2024-06-03 00:00:00,C10875,Sweden,Malmö,Web,Electronics,Electronics Sub3,10.0,3,0.0,30.0,20.21
O82,2025-07-28 12:00:00,C11310,India,Bengaluru,Marketplace,Beauty,Beauty Sub3,202.87,4,0.0,811.5,495.5
O83,2025-08-28 16:00:00,C10202,India,Delhi,Mobile App,Fashion,Fashion Sub2,177.23,3,0.0,531.69,412.45
O84,2025-09-15 04:00:00,C10657,Sweden,Gothenburg,Marketplace,Electronics,Electronics Sub2,216.48,2,0.11,383.92,329.46
O85,2024-04-19 08:00:00,C10625,France,Lyon,Web,Sports,Sports Sub4,10.0,3,0.0,30.0,19.49
O86,2024-01-02 03:00:00,C10227,France,Lyon,Mobile App,Fashion,Fashion Sub1,88.54,3,0.18,216.76,199.93
O87,2024-04-05 22:00:00,C11348,Canada,Toronto,Web,Home,Home Sub4,155.23,3,0.35,302.7,263.63
O88,2024-08-08 06:00:00,C10316,France,Paris,Mobile App,Home,Home Sub2,171.41,1,0.19,139.55,105.43
O89,2025-10-27 20:00:00,C11288,France,Marseille,Mobile App,Sports,Sports Sub3,180.13,1,0.0,180.13,100.05
O90,2025-03-06 11:00:00,C10143,USA,Chicago,Web,Electronics,Electronics Sub1,243.6,1,0.22,191.14,168.63
O91,2024-04-19 15:00:00,C11221,France,Lyon,Web,Home,Home Sub4,153.31,3,0.0,459.94,331.52
O92,2024-06-09 06:00:00,C10185,USA,San Francisco,Marketplace,Fashion,Fashion Sub1,86.53,4,0.0,346.12,261.16
O93,2024-01-11 11:00:00,C10886,India,Delhi,Web,Fashion,Fashion Sub4,80.32,1,0.0,80.32,48.03
O94,2024-09-18 10:00:00,C10870,USA,Seattle,Mobile App,Home,Home Sub2,46.97,1,0.03,45.51,26.18
O95,2025-05-22 23:00:00,C10363,Brazil,Rio de Janeiro,Web,Home,Home Sub1,157.08,1,0.0,157.08,121.75
O96,2025-04-15 16:00:00,C10127,Sweden,Malmö,Mobile App,Fashion,Fashion Sub4,74.72,6,0.0,448.32,357.39
O97,2025-08-27 13:00:00,C10726,Netherlands,Rotterdam,Web,Electronics,Electronics Sub3,164.85,1,0.0,164.85,108.64
O98,2025-02-13 08:00:00,C11314,Brazil,Rio de Janeiro,Mobile App,Electronics,Electronics Sub1,124.79,1,0.08,114.56,85.57
O99,2025-03-15 14:00:00,C10843,Netherlands,Rotterdam,Retail,Electronics,Electronics Sub1,182.84,6,0.21,861.26,693.17
O100,2025-07-10 23:00:00,C10045,Australia,Brisbane,Web,Fashion,Fashion Sub4,98.39,2,0.0,196.78,126.93
O101,2024-06-23 07:00:00,C10392,Sweden,Gothenburg,Web,Home,Home Sub3,99.51,5,0.0,497.57,313.68
O102,2025-07-28 09:00:00,C10806,USA,Chicago,Mobile App,Sports,Sports Sub3,157.99,3,0.0,473.97,360.18
O103,2024-04-19 04:00:00,C10397,Brazil,Brasília,Web,Beauty,Beauty Sub5,237.52,2,0.0,475.04,309.75
O104,2024-09-04 07:00:00,C10350,Canada,Montreal,Web,Home,Home Sub4,198.86,2,0.12,351.53,227.63
O105,2025-04-22 00:00:00,C10082,Brazil,Rio de Janeiro,Mobile App,Sports,Sports Sub1,72.51,2,0.0,145.02,99.21
O106,2024-07-16 03:00:00,C11119,Canada,Toronto,Mobile App,Fashion,Fashion Sub4,23.82,1,0.0,23.82,13.59
O107,2025-04-14 03:00:00,C10130,India,Bengaluru,Web,Sports,Sports Sub4,80.5,1,0.0,80.5,54.52
O108,2025-07-12 13:00:00,C11193,USA,New York,Mobile App,Sports,Sports Sub4,10.0,3,0.0,30.0,22.35
O109,2025-05-16 10:00:00,C10315,Canada,Vancouver,Retail,Beauty,Beauty Sub2,63.21,2,0.0,126.43,91.62
O110,2024-03-06 16:00:00,C10919,Germany,Berlin,Marketplace,Beauty,Beauty Sub1,173.89,2,0.22,270.81,207.56
O111,2024-11-04 07:00:00,C10654,Australia,Brisbane,Retail,Electronics,Electronics Sub4,10.0,2,0.0,20.0,15.05
O112,2024-09-11 00:00:00,C10478,Netherlands,Utrecht,Retail,Fashion,Fashion Sub2,132.44,2,0.0,264.89,164.79
O113,2025-08-14 00:00:00,C11070,Australia,Sydney,Mobile App,Fashion,Fashion Sub3,105.19,1,0.0,105.19,79.71
O114,2024-12-19 08:00:00,C10754,France,Paris,Retail,Electronics,Electronics Sub5,64.7,2,0.0,129.41,77.65
O115,2025-05-10 05:00:00,C10998,India,Hyderabad,Web,Sports,Sports Sub1,208.76,4,0.0,835.04,661.5
O116,2024-10-15 10:00:00,C11022,Netherlands,Rotterdam,Web,Fashion,Fashion Sub3,144.45,2,0.0,288.91,196.12
O117,2024-05-25 00:00:00,C10013,UK,London,Mobile App,Electronics,Electronics Sub1,217.59,4,0.11,773.46,485.4
O118,2024-12-14 00:00:00,C11224,France,Lyon,Web,Sports,Sports Sub4,296.18,2,0.15,505.14,325.95
O119,2024-02-11 19:00:00,C10946,USA,New York,Mobile App,Sports,Sports Sub2,248.18,5,0.0,1240.89,755.78
O120,2025-06-12 05:00:00,C10806,Brazil,Rio de Janeiro,Web,Electronics,Electronics Sub3,125.37,1,0.13,108.75,86.41
O121,2024-10-19 10:00:00,C10094,USA,San Francisco,Web,Home,Home Sub4,42.44,1,0.0,42.44,33.53
O122,2024-09-26 15:00:00,C10816,France,Marseille,Web,Sports,Sports Sub3,178.8,1,0.0,178.8,113.64
O123,2024-10-30 00:00:00,C10463,Canada,Calgary,Mobile App,Fashion,Fashion Sub1,190.04,2,0.1,340.37,226.67
O124,2025-07-02 02:00:00,C10441,Australia,Sydney,Marketplace,Fashion,Fashion Sub2,161.22,5,0.0,806.1,534.52
O125,2024-01-07 14:00:00,C10406,UK,Bristol,Mobile App,Home,Home Sub3,178.07,1,0.0,178.07,125.52
O126,2025-01-27 04:00:00,C10914,Netherlands,Rotterdam,Retail,Fashion,Fashion Sub3,116.95,2,0.0,233.9,145.55
O127,2024-03-17 07:00:00,C11020,France,Lyon,Mobile App,Electronics,Electronics Sub4,72.42,1,0.04,69.53,56.93
O128,2024-02-19 10:00:00,C10822,USA,San Francisco,Web,Home,Home Sub3,226.78,3,0.0,680.33,516.82
O129,2024-02-18 07:00:00,C10723,India,Bengaluru,Mobile App,Fashion,Fashion Sub5,142.0,3,0.0,426.01,330.07
O130,2024-12-03 07:00:00,C10554,USA,San Francisco,Mobile App,Beauty,Beauty Sub5,273.14,1,0.0,273.14,194.3
O131,2024-11-05 20:00:00,C10722,Germany,Berlin,Mobile App,Home,Home Sub3,76.24,4,0.04,291.51,173.13
O132,2024-06-08 15:00:00,C10850,Brazil,São Paulo,Mobile App,Sports,Sports Sub1,153.81,1,0.0,153.81,107.33
O133,2025-04-08 05:00:00,C10683,Australia,Melbourne,Retail,Fashion,Fashion Sub1,70.52,5,0.02,344.28,277.97
O134,2024-09-26 13:00:00,C11275,Australia,Brisbane,Mobile App,Sports,Sports Sub3,242.05,2,0.03,468.73,358.35
O135,2024-05-15 21:00:00,C10577,Germany,Cologne,Web,Electronics,Electronics Sub1,10.0,1,0.03,9.72,5.66
O136,2024-09-10 18:00:00,C10026,Netherlands,Utrecht,Mobile App,Beauty,Beauty Sub4,28.23,1,0.0,28.23,21.92
O137,2024-07-16 05:00:00,C10040,France,Lyon,Retail,Electronics,Electronics Sub5,258.54,1,0.03,250.01,154.1
O138,2024-06-13 22:00:00,C10078,India,Hyderabad,Marketplace,Sports,Sports Sub3,53.2,1,0.0,53.2,40.75
O139,2024-09-17 16:00:00,C11190,Canada,Toronto,Retail,Home,Home Sub1,103.62,1,0.11,91.83,70.33
O140,2025-02-23 10:00:00,C11365,Australia,Sydney,Marketplace,Home,Home Sub5,136.55,2,0.0,273.09,189.44
O141,2024-02-06 05:00:00,C10327,UK,Leeds,Retail,Electronics,Electronics Sub4,27.15,2,0.0,54.31,29.97
O142,2024-08-25 22:00:00,C10548,Australia,Melbourne,Web,Sports,Sports Sub5,251.52,8,0.01,2000.44,1595.22
O143,2025-08-01 11:00:00,C10230,France,Lyon,Retail,Beauty,Beauty Sub4,118.55,5,0.16,496.83,327.2
O144,2024-12-04 16:00:00,C10141,Canada,Montreal,Mobile App,Sports,Sports Sub4,179.26,3,0.0,537.79,303.56
O145,2024-07-09 15:00:00,C11324,Netherlands,Rotterdam,Web,Sports,Sports Sub1,10.0,1,0.0,10.0,5.78
O146,2025-03-19 10:00:00,C10442,Canada,Toronto,Marketplace,Electronics,Electronics Sub4,251.24,2,0.0,502.49,340.46
O147,2025-04-14 18:00:00,C10721,Canada,Vancouver,Retail,Electronics,Electronics Sub1,186.54,2,0.04,359.82,231.38
O148,2024-01-20 12:00:00,C10146,UK,Leeds,Mobile App,Home,Home Sub3,53.9,2,0.0,107.81,71.77
O149,2025-08-10 04:00:00,C10224,Brazil,Brasília,Marketplace,Fashion,Fashion Sub1,102.89,1,0.0,102.89,80.25
O150,2025-09-17 15:00:00,C10488,Sweden,Malmö,Marketplace,Sports,Sports Sub5,10.0,1,0.0,10.0,6.94
O151,2024-08-24 06:00:00,C10203,Australia,Brisbane,Web,Fashion,Fashion Sub3,84.79,1,0.0,84.79,60.36
O152,2024-01-22 02:00:00,C11092,France,Paris,Mobile App,Electronics,Electronics Sub5,150.76,2,0.0,301.52,205.34
O153,2024-02-29 10:00:00,C11234,Sweden,Malmö,Mobile App,Beauty,Beauty Sub5,182.61,1,0.0,182.61,110.13
O154,2024-12-10 01:00:00,C11245,Australia,Melbourne,Web,Fashion,Fashion Sub4,75.38,1,0.0,75.38,42.94
O155,2025-08-06 17:00:00,C10327,Australia,Melbourne,Retail,Home,Home Sub5,133.21,2,0.04,256.63,208.88
O156,2025-09-11 18:00:00,C10491,Germany,Munich,Mobile App,Home,Home Sub1,158.69,3,0.0,476.06,270.42
O157,2024-06-01 18:00:00,C10724,India,Bengaluru,Mobile App,Home,Home Sub2,95.3,1,0.0,95.3,63.02
O158,2024-02-02 11:00:00,C10308,Germany,Hamburg,Web,Beauty,Beauty Sub4,101.69,2,0.0,203.37,162.66
O159,2024-08-03 12:00:00,C11324,India,Bengaluru,Mobile App,Beauty,Beauty Sub1,36.08,1,0.0,36.08,20.08
O160,2024-12-04 03:00:00,C10942,France,Paris,Web,Home,Home Sub3,164.11,2,0.0,328.23,186.1
O161,2025-06-28 13:00:00,C10646,Germany,Munich,Web,Fashion,Fashion Sub1,145.34,2,0.15,247.86,226.76
O162,2024-10-05 00:00:00,C10149,Sweden,Malmö,Retail,Beauty,Beauty Sub1,146.86,1,0.0,146.86,107.47
O163,2024-03-15 05:00:00,C10560,Australia,Melbourne,Mobile App,Beauty,Beauty Sub3,22.83,4,0.0,91.33,51.14
O164,2025-05-02 03:00:00,C11202,UK,London,Web,Home,Home Sub1,187.68,1,0.0,187.68,103.27
O165,2025-01-15 04:00:00,C10168,UK,Bristol,Web,Home,Home Sub4,10.0,3,0.0,30.0,19.56
O166,2025-05-13 07:00:00,C10146,Brazil,Brasília,Web,Electronics,Electronics Sub4,87.29,3,0.0,261.88,166.95
O167,2024-04-16 10:00:00,C10719,Brazil,Rio de Janeiro,Retail,Home,Home Sub3,174.62,1,0.11,156.28,127.94
O168,2024-07-14 02:00:00,C11325,India,Hyderabad,Web,Electronics,Electronics Sub4,110.0,3,0.0,330.01,203.48
O169,2024-02-13 09:00:00,C10897,Canada,Vancouver,Retail,Electronics,Electronics Sub4,69.17,5,0.0,345.85,253.51
O170,2024-08-03 12:00:00,C11140,France,Marseille,Web,Home,Home Sub4,115.14,3,0.0,345.42,252.83
O171,2024-03-18 23:00:00,C10507,Brazil,São Paulo,Retail,Electronics,Electronics Sub1,61.82,4,0.31,170.32,150.56
O172,2025-05-11 16:00:00,C10176,Canada,Vancouver,Web,Sports,Sports Sub1,141.7,1,0.0,141.7,111.67
O173,2024-10-01 10:00:00,C10626,Brazil,Brasília,Retail,Electronics,Electronics Sub1,85.19,1,0.0,85.19,50.95
O174,2025-09-06 22:00:00,C10399,UK,Leeds,Web,Fashion,Fashion Sub1,98.41,1,0.0,98.41,72.36
O175,2024-11-10 16:00:00,C10097,Australia,Sydney,Web,Electronics,Electronics Sub3,81.23,1,0.0,81.23,46.69
O176,2024-12-18 09:00:00,C11362,Germany,Munich,Retail,Sports,Sports Sub1,172.1,2,0.0,344.21,240.25
O177,2025-05-08 21:00:00,C10969,USA,Chicago,Retail,Fashion,Fashion Sub4,93.57,1,0.07,87.29,64.28
O178,2024-06-16 19:00:00,C11277,Canada,Calgary,Web,Electronics,Electronics Sub5,51.42,3,0.0,154.27,104.05
O179,2024-11-29 13:00:00,C10292,India,Mumbai,Web,Sports,Sports Sub5,152.07,2,0.0,304.14,200.22
O180,2025-05-09 16:00:00,C11139,France,Paris,Retail,Home,Home Sub4,131.83,1,0.0,131.83,78.72
O181,2024-10-08 08:00:00,C10887,Germany,Cologne,Retail,Electronics,Electronics Sub1,20.9,2,0.0,41.8,27.78
O182,2025-09-23 18:00:00,C10643,India,Delhi,Retail,Electronics,Electronics Sub2,155.95,2,0.0,311.91,216.92
O183,2024-04-09 17:00:00,C10267,Australia,Melbourne,Mobile App,Electronics,Electronics Sub3,10.0,2,0.05,18.96,11.92
O184,2024-01-15 05:00:00,C11005,Germany,Munich,Web,Electronics,Electronics Sub3,161.56,2,0.0,323.13,257.41
O185,2024-04-15 00:00:00,C10455,USA,Chicago,Retail,Beauty,Beauty Sub1,166.94,1,0.35,108.51,104.38
O186,2024-01-27 00:00:00,C11113,France,Marseille,Mobile App,Fashion,Fashion Sub2,212.23,2,0.12,371.65,305.91
O187,2024-07-17 17:00:00,C10112,UK,Manchester,Mobile App,Fashion,Fashion Sub4,123.62,4,0.0,494.49,296.44
O188,2025-08-31 07:00:00,C11367,Australia,Sydney,Marketplace,Fashion,Fashion Sub5,161.39,3,0.09,439.53,347.43
O189,2025-02-15 08:00:00,C10827,Australia,Brisbane,Mobile App,Sports,Sports Sub3,178.96,3,0.14,463.11,392.61
O190,2024-03-21 23:00:00,C10136,Canada,Vancouver,Web,Fashion,Fashion Sub2,262.92,1,0.01,261.44,146.7
O191,2024-04-01 20:00:00,C11119,Canada,Montreal,Mobile App,Beauty,Beauty Sub2,224.75,4,0.09,815.65,618.16
O192,2025-01-05 15:00:00,C11332,Australia,Brisbane,Retail,Sports,Sports Sub2,10.0,2,0.06,18.84,13.49
O193,2024-02-09 15:00:00,C10782,UK,London,Web,Fashion,Fashion Sub4,161.31,5,0.0,806.54,543.15
O194,2025-04-06 01:00:00,C10314,USA,Seattle,Mobile App,Home,Home Sub4,10.0,3,0.0,30.0,18.26
O195,2025-10-31 15:00:00,C11177,Canada,Toronto,Web,Fashion,Fashion Sub5,10.0,3,0.0,30.0,19.01
O196,2025-01-16 20:00:00,C10753,Sweden,Gothenburg,Mobile App,Electronics,Electronics Sub4,190.47,3,0.0,571.4,402.81
O197,2025-05-27 22:00:00,C11248,USA,San Francisco,Web,Sports,Sports Sub3,10.0,2,0.0,20.0,13.55
O198,2024-06-02 02:00:00,C10479,Sweden,Malmö,Mobile App,Home,Home Sub4,126.88,2,0.0,253.77,145.97
O199,2025-07-18 04:00:00,C10012,France,Paris,Web,Sports,Sports Sub3,112.39,1,0.0,112.39,84.51
O200,2024-08-30 03:00:00,C10357,Brazil,Rio de Janeiro,Mobile App,Home,Home Sub3,177.79,1,0.0,177.44,120.99
O201,2025-10-31 23:00:00,C11187,Canada,Calgary,Web,Sports,Sports Sub2,122.11,1,0.0,122.11,94.35
O202,2024-05-14 00:00:00,C10629,France,Paris,Mobile App,Home,Home Sub5,143.12,2,0.04,274.54,219.39
O203,2024-05-21 23:00:00,C10158,UK,London,Mobile App,Fashion,Fashion Sub4,64.14,5,0.0,320.7,199.82
O204,2024-10-30 09:00:00,C10271,Brazil,São Paulo,Marketplace,Sports,Sports Sub4,178.84,2,0.0,357.68,267.1
O205,2025-10-09 12:00:00,C10702,Brazil,Brasília,Marketplace,Sports,Sports Sub5,199.84,1,0.0,199.84,151.23
O206,2024-09-28 01:00:00,C11262,USA,New York,Web,Electronics,Electronics Sub2,48.69,1,0.0,48.69,27.43
O207,2025-07-01 10:00:00,C11170,UK,Leeds,Mobile App,Electronics,Electronics Sub3,249.54,1,0.0,249.54,163.28
O208,2025-04-23 14:00:00,C10884,UK,Bristol,Web,Electronics,Electronics Sub3,244.97,2,0.07,456.09,379.63
O209,2024-12-06 10:00:00,C11286,Brazil,Brasília,Marketplace,Electronics,Electronics Sub3,318.84,3,0.0,956.51,689.01
O210,2024-11-06 15:00:00,C10307,Netherlands,Utrecht,Mobile App,Home,Home Sub3,279.9,2,0.0,559.79,419.28
O211,2024-07-27 15:00:00,C10451,India,Delhi,Mobile App,Electronics,Electronics Sub3,122.83,2,0.0,245.66,173.53
O212,2024-03-17 20:00:00,C10468,Canada,Toronto,Marketplace,Fashion,Fashion Sub3,189.0,4,0.35,491.39,444.87
O213,2024-12-11 19:00:00,C10445,France,Lyon,Web,Home,Home Sub5,114.21,3,0.0,342.63,206.11
O214,2024-01-10 13:00:00,C10447,Canada,Calgary,Web,Beauty,Beauty Sub4,135.61,4,0.0,542.43,386.63
O215,2024-11-28 08:00:00,C11105,Sweden,Stockholm,Web,Fashion,Fashion Sub5,167.48,1,0.0,167.48,110.73
